bundle_id,name,price,description,category,generated_at
bundle-budget-001,Budget Planner Bundle Pack 1 (5 templates),34.95,Budget Planner Bundle Pack 1 (5 templates)\n\nWHAT YOU GET\n- bundle_pack.zip (contains individual product bundles)\n\nHOW TO USE\n1) Download bundle_pack.zip\n2) Open each included bundle.zip per template\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $34.95\n,budget,2026-01-14 07:51:57 UTC
bundle-habit-001,Habit Tracker Bundle Pack 1 (5 templates),37.99,Habit Tracker Bundle Pack 1 (5 templates)\n\nWHAT YOU GET\n- bundle_pack.zip (contains individual product bundles)\n\nHOW TO USE\n1) Download bundle_pack.zip\n2) Open each included bundle.zip per template\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $37.99\n,habit,2026-01-14 07:51:57 UTC
bundle-meal-001,Meal Planner Bundle Pack 1 (5 templates),37.99,Meal Planner Bundle Pack 1 (5 templates)\n\nWHAT YOU GET\n- bundle_pack.zip (contains individual product bundles)\n\nHOW TO USE\n1) Download bundle_pack.zip\n2) Open each included bundle.zip per template\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $37.99\n,meal,2026-01-14 07:51:57 UTC
bundle-study-001,Study Planner Bundle Pack 1 (5 templates),37.99,Study Planner Bundle Pack 1 (5 templates)\n\nWHAT YOU GET\n- bundle_pack.zip (contains individual product bundles)\n\nHOW TO USE\n1) Download bundle_pack.zip\n2) Open each included bundle.zip per template\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $37.99\n,study,2026-01-14 07:51:57 UTC
